C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev,WT.or.LOF.or.Auxin
352050.066,NA,350235.133,NA,NA,Loss of function
351480.087,NA,350182.826,NA,NA,Loss of function
351112.4,NA,350210.206,NA,NA,Loss of function
351304.154,NA,350194.814,NA,NA,Loss of function
351489.755,NA,350160.728,NA,NA,Loss of function
351512.338,NA,350150.734,NA,NA,Loss of function
351692.137,NA,350144.125,NA,NA,Loss of function
351201.204,NA,350258.484,NA,NA,Loss of function
351518.321,NA,350148.781,NA,NA,Loss of function
351076.375,NA,350319.309,NA,NA,Loss of function
351289.382,NA,350143.234,NA,NA,Loss of function
351905.327,NA,350343.032,NA,NA,Loss of function
351996.78,NA,350173,NA,NA,Loss of function
352410.373,NA,350276.755,NA,NA,Loss of function
352183.159,NA,350196.296,NA,NA,Loss of function
352095.414,NA,350230.618,NA,NA,Loss of function
351260.215,NA,350146.46,NA,NA,Loss of function
351893.615,NA,350144.723,NA,NA,Loss of function
351231.887,NA,350091.614,NA,NA,Loss of function
352557.349,NA,350049.737,NA,NA,Loss of function
351770.817,NA,350045.958,NA,NA,Loss of function
351415.82,NA,350052.393,NA,NA,Loss of function
353007.595,NA,350058.583,NA,NA,Loss of function
351504.375,NA,350048.061,NA,NA,Loss of function
351449.459,NA,350077.531,NA,NA,Loss of function
351711.974,NA,350081.031,NA,NA,Loss of function
351341.378,NA,350078.456,NA,NA,Loss of function
351175.38,NA,350086.269,NA,NA,Loss of function
351427.747,NA,350053.992,NA,NA,Loss of function
353047.251,NA,350100.556,NA,NA,Loss of function
352613.912,NA,350093.257,NA,NA,Loss of function
353630.087,NA,350056.141,NA,NA,Loss of function
351739.77,NA,350130.296,NA,NA,Loss of function
352101.236,NA,350059.349,NA,NA,Loss of function
353837.823,NA,350052.625,NA,NA,Loss of function
351869.329,NA,353311.177,NA,NA,Loss of function
352955.993,NA,352685.214,NA,NA,Loss of function
352522.792,NA,353947.162,NA,NA,Loss of function
352687.726,NA,353538.979,NA,NA,Loss of function
351804.434,NA,353381.84,NA,NA,Loss of function
